                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17315,                0.47991,                      1,                0.67407,               0.070234,              0.0033073,              0.0033073
                      1,                0.17264,                0.57635,                      1,                0.65484,               0.040103,              0.0065091,              0.0065091
                      2,                0.16403,                0.64524,                      1,                0.62732,              0.0098394,               0.009579,               0.009579
                      3,                0.15431,                0.71527,                      1,                0.55429,               0.009406,               0.009406,               0.009406
                      4,                0.14148,                0.70264,                      1,                 0.5531,               0.009406,               0.009406,               0.009406
                      5,                0.13676,                0.81056,                      1,                0.49745,               0.009208,               0.009208,               0.009208
                      6,                0.12352,                0.87715,                      1,                0.46408,                0.00901,                0.00901,                0.00901
                      7,                0.11154,                0.90126,                      1,                0.43818,               0.008812,               0.008812,               0.008812
                      8,                 0.1049,                0.75545,                      1,                0.52705,               0.008614,               0.008614,               0.008614
                      9,                 0.0942,                0.86108,                      1,                0.44109,               0.008416,               0.008416,               0.008416
                     10,                0.08918,                0.93341,                      1,                0.41424,               0.008218,               0.008218,               0.008218
                     11,                0.08978,                0.92767,                      1,                0.39069,                0.00802,                0.00802,                0.00802
                     12,                0.07995,                0.94948,                      1,                0.37996,               0.007822,               0.007822,               0.007822
                     13,                0.06965,                 0.8806,                      1,                0.42064,               0.007624,               0.007624,               0.007624
                     14,                0.07068,                0.96326,                      1,                0.36264,               0.007426,               0.007426,               0.007426
                     15,                0.06521,                0.76579,                      1,                0.51374,               0.007228,               0.007228,               0.007228
                     16,                  0.066,                0.97704,                      1,                0.35498,                0.00703,                0.00703,                0.00703
                     17,                0.05956,                0.97819,                      1,                0.34857,               0.006832,               0.006832,               0.006832
                     18,                0.05222,                0.88404,                      1,                0.40749,               0.006634,               0.006634,               0.006634
                     19,                0.05367,                0.95408,                      1,                 0.3595,               0.006436,               0.006436,               0.006436
                     20,                0.05493,                0.97819,                      1,                0.33167,               0.006238,               0.006238,               0.006238
                     21,                0.04409,                0.97474,                      1,                0.33008,                0.00604,                0.00604,                0.00604
                     22,                0.04386,                0.96441,                      1,                0.34889,               0.005842,               0.005842,               0.005842
                     23,                0.04845,                0.97359,                      1,                0.33398,               0.005644,               0.005644,               0.005644
                     24,                0.04527,                0.96556,                      1,                0.33608,               0.005446,               0.005446,               0.005446
                     25,                0.04979,                0.98278,                      1,                 0.3301,               0.005248,               0.005248,               0.005248
                     26,                 0.0421,                  0.969,                      1,                0.34389,                0.00505,                0.00505,                0.00505
                     27,                0.04629,                0.97704,                      1,                0.33355,               0.004852,               0.004852,               0.004852
                     28,                0.04421,                0.98393,                      1,                0.32773,               0.004654,               0.004654,               0.004654
                     29,                0.03558,                 0.9977,                      1,                0.31781,               0.004456,               0.004456,               0.004456
                     30,                0.03856,                0.99311,                      1,                0.31664,               0.004258,               0.004258,               0.004258
                     31,                0.03926,                0.97474,                      1,                0.33682,                0.00406,                0.00406,                0.00406
                     32,                0.04131,                0.99082,                      1,                0.32501,               0.003862,               0.003862,               0.003862
                     33,                0.02947,                0.98737,                      1,                0.31791,               0.003664,               0.003664,               0.003664
                     34,                0.03632,                0.99196,                      1,                0.32256,               0.003466,               0.003466,               0.003466
                     35,                0.03817,                0.99082,                      1,                0.32103,               0.003268,               0.003268,               0.003268
                     36,                0.02901,                0.99426,                      1,                0.31308,                0.00307,                0.00307,                0.00307
                     37,                 0.0333,                0.98737,                      1,                 0.3225,               0.002872,               0.002872,               0.002872
                     38,                0.03479,                 0.9977,                      1,                 0.3131,               0.002674,               0.002674,               0.002674
                     39,                0.03071,                0.99311,                      1,                0.31835,               0.002476,               0.002476,               0.002476
                     40,                 0.0309,                0.99885,                      1,                0.31192,               0.002278,               0.002278,               0.002278
                     41,                0.02902,                      1,                      1,                0.30911,                0.00208,                0.00208,                0.00208
                     42,                0.02762,                0.99426,                      1,                  0.312,               0.001882,               0.001882,               0.001882
                     43,                0.02972,                 0.9977,                      1,                0.31132,               0.001684,               0.001684,               0.001684
                     44,                0.03044,                0.99082,                      1,                0.31627,               0.001486,               0.001486,               0.001486
                     45,                0.02502,                0.99885,                      1,                0.31052,               0.001288,               0.001288,               0.001288
                     46,                0.02941,                 0.9977,                      1,                0.31297,                0.00109,                0.00109,                0.00109
                     47,                0.02481,                0.99656,                      1,                0.31274,               0.000892,               0.000892,               0.000892
                     48,                0.02275,                0.99885,                      1,                 0.3097,               0.000694,               0.000694,               0.000694
                     49,                0.02403,                0.99885,                      1,                0.30844,               0.000496,               0.000496,               0.000496
